kennziffer,name,fl17,bev17,sgtyp,sgtyp_name,wo,,mittelb17,mittelb17name,ihk17,ihk17name
1056050,"Wedel, Stadt",33.82,"33,347",20,Mittelstadt,1,West,10102,Wedel,42,IHK zu Kiel
1056916,Elmshorn-Land,89.28,"12,789",50,Landgemeinde,1,West,10101,Elmshorn,42,IHK zu Kiel
1056936,Hörnerkirchen,44.91,"3,957",50,Landgemeinde,1,West,10101,Elmshorn,42,IHK zu Kiel
1056960,Rantzau,112.00,"8,740",50,Landgemeinde,1,West,10101,Elmshorn,42,IHK zu Kiel
1056987,Pinnau,48.24,"13,480",50,Landgemeinde,1,West,10103,Pinneberg,42,IHK zu Kiel
1056990,Geest und Marsch Südholstein,137.67,"23,462",50,Landgemeinde,1,West,10101,Elmshorn,42,IHK zu Kiel
1057001,Ascheberg (Holstein),20.93,"2,998",50,Landgemeinde,1,West,10305,Plön,42,IHK zu Kiel
1057008,Bönebüttel,20.40,"2,034",50,Landgemeinde,1,West,10304,Neumünster,42,IHK zu Kiel
1057009,Bösdorf,21.10,"1,347",50,Landgemeinde,1,West,10305,Plön,42,IHK zu Kiel
1057057,"Plön, Stadt",36.73,"8,933",40,Kleine Kleinstadt,1,West,10305,Plön,42,IHK zu Kiel
1057062,"Preetz, Stadt",14.40,"16,041",30,Größere Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1057091,"Schwentinental, Stadt",17.82,"13,724",30,Größere Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1057927,Amt Lütjenburg,225.04,"15,472",40,Kleine Kleinstadt,1,West,10305,Plön,42,IHK zu Kiel
1057939,Großer Plöner See,187.03,"8,019",50,Landgemeinde,1,West,10305,Plön,42,IHK zu Kiel
1057947,Preetz-Land,191.01,"9,295",50,Landgemeinde,1,West,10303,Kiel,42,IHK zu Kiel
1057955,Probstei,132.89,"21,713",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1057975,Selent/ Schlesen,117.54,"5,711",50,Landgemeinde,1,West,10303,Kiel,42,IHK zu Kiel
1057982,Schrevenborn,33.46,"18,922",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1057985,Bokhorst-Wankendorf,129.08,"8,037",50,Landgemeinde,1,West,10304,Neumünster,42,IHK zu Kiel
1058005,Altenholz,19.03,"9,935",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1058034,"Büdelsdorf, Stadt",6.48,"10,287",30,Größere Kleinstadt,1,West,10302,Rendsburg,42,IHK zu Kiel
1058043,"Eckernförde, Stadt",21.38,"21,979",20,Mittelstadt,1,West,10301,Eckernförde,42,IHK zu Kiel
1058092,Kronshagen,5.35,"11,791",30,Größere Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1058135,"Rendsburg, Stadt",23.73,"28,789",20,Mittelstadt,1,West,10302,Rendsburg,42,IHK zu Kiel
1058169,Wasbek,23.49,"2,315",50,Landgemeinde,1,West,10304,Neumünster,42,IHK zu Kiel
1058903,Achterwehr,118.38,"11,420",50,Landgemeinde,1,West,10303,Kiel,42,IHK zu Kiel
1058922,Dänischenhagen,71.88,"9,102",50,Landgemeinde,1,West,10303,Kiel,42,IHK zu Kiel
1058924,Dänischer Wohld,124.98,"16,873",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1058930,Flintbek,30.76,"7,999",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1058933,Fockbek,66.61,"10,685",40,Kleine Kleinstadt,1,West,10302,Rendsburg,42,IHK zu Kiel
1058947,Hohner Harde,167.86,"8,674",50,Landgemeinde,1,West,10302,Rendsburg,42,IHK zu Kiel
1058953,Jevenstedt,134.84,"11,610",40,Kleine Kleinstadt,1,West,10302,Rendsburg,42,IHK zu Kiel
1058959,Molfsee,47.62,"8,796",40,Kleine Kleinstadt,1,West,10303,Kiel,42,IHK zu Kiel
1058964,Nortorfer  Land,245.13,"18,422",40,Kleine Kleinstadt,1,West,10304,Neumünster,42,IHK zu Kiel
1058988,Eiderkanal,87.67,"12,804",40,Kleine Kleinstadt,1,West,10302,Rendsburg,42,IHK zu Kiel
1058989,Bordesholm,99.64,"14,409",40,Kleine Kleinstadt,1,West,10304,Neumünster,42,IHK zu Kiel
1058990,Hüttener Berge,208.39,"14,444",50,Landgemeinde,1,West,10301,Eckernförde,42,IHK zu Kiel
1058993,Schlei-Ostsee,305.32,"18,707",50,Landgemeinde,1,West,10301,Eckernförde,42,IHK zu Kiel
1058995,Mittelholstein,380.72,"23,981",40,Kleine Kleinstadt,1,West,10304,Neumünster,42,IHK zu Kiel
1059045,"Kappeln, Stadt",43.32,"8,675",40,Kleine Kleinstadt,1,West,10504,Kappeln,26,IHK Flensburg
1059075,"Schleswig, Stadt",24.30,"25,118",20,Mittelstadt,1,West,10505,Schleswig,26,IHK Flensburg
1059113,"Glücksburg (Ostsee), Stadt",39.70,"5,987",40,Kleine Kleinstadt,1,West,10503,Flensburg,26,IHK Flensburg
1059120,Harrislee,18.92,"11,556",30,Größere Kleinstadt,1,West,10503,Flensburg,26,IHK Flensburg
